,camera,date,hour,zone,person,car,bicycle,motorcycle,truck,dog
378,1,30-11-2021,17,0,55,0,0,0,0,0
379,1,30-11-2021,17,1,35,0,0,0,0,0
380,1,30-11-2021,17,2,0,192,0,0,1,0
381,1,30-11-2021,16,0,49,0,0,0,0,0
382,1,30-11-2021,16,1,4,0,0,0,0,0
383,1,30-11-2021,16,2,0,119,0,0,1,0
384,1,30-11-2021,15,0,33,0,0,0,0,0
385,1,30-11-2021,15,1,7,0,0,0,0,0
386,1,30-11-2021,15,2,0,39,0,0,0,0
387,1,30-11-2021,14,0,24,0,0,0,0,0
388,1,30-11-2021,14,1,4,0,0,0,0,0
389,1,30-11-2021,14,2,0,29,0,0,0,0
390,1,30-11-2021,13,0,23,0,0,0,0,0
391,1,30-11-2021,13,1,0,0,0,0,0,0
392,1,30-11-2021,13,2,0,41,0,0,0,0
393,1,30-11-2021,12,0,0,0,0,0,0,0
394,1,30-11-2021,12,1,2,0,0,0,0,0
395,1,30-11-2021,12,2,0,20,0,0,0,0
396,1,30-11-2021,11,0,40,0,0,0,0,0
397,1,30-11-2021,11,1,3,0,0,0,0,0
398,1,30-11-2021,11,2,0,18,0,0,0,0
399,1,30-11-2021,10,0,49,0,0,0,0,0
400,1,30-11-2021,10,1,5,0,0,0,0,0
401,1,30-11-2021,10,2,0,75,0,0,0,0
402,1,30-11-2021,9,0,18,0,0,0,0,0
403,1,30-11-2021,9,1,0,0,0,0,0,0
404,1,30-11-2021,9,2,0,11,0,0,0,0
405,1,30-11-2021,8,0,2,0,0,0,0,0
406,1,30-11-2021,8,1,1,0,0,0,0,0
407,1,30-11-2021,8,2,0,16,0,0,0,0
408,1,30-11-2021,7,0,0,0,0,0,0,0
409,1,30-11-2021,7,1,2,0,0,0,0,0
410,1,30-11-2021,7,2,0,3,0,0,0,0
411,1,30-11-2021,6,0,0,0,0,0,0,0
412,1,30-11-2021,6,1,0,0,0,0,0,0
413,1,30-11-2021,6,2,0,0,0,0,0,0
414,1,30-11-2021,5,0,0,0,0,0,0,0
415,1,30-11-2021,5,1,0,0,0,0,0,0
416,1,30-11-2021,5,2,0,1,0,0,0,0
417,1,30-11-2021,4,0,0,0,0,0,0,0
418,1,30-11-2021,4,1,0,0,0,0,0,0
419,1,30-11-2021,4,2,0,5,0,0,0,0
420,1,30-11-2021,3,0,0,0,0,0,0,0
421,1,30-11-2021,3,1,0,0,0,0,0,0
422,1,30-11-2021,3,2,0,2,0,0,0,0
423,1,30-11-2021,2,0,0,0,0,0,0,0
424,1,30-11-2021,2,1,0,0,0,0,0,0
425,1,30-11-2021,2,2,0,1,0,0,0,0
426,1,30-11-2021,1,0,0,0,0,0,0,0
427,1,30-11-2021,1,1,0,0,0,0,0,0
428,1,30-11-2021,1,2,0,4,0,0,0,0
429,1,30-11-2021,0,0,0,2,0,0,0,0
430,1,30-11-2021,0,1,0,0,0,0,0,0
431,1,30-11-2021,0,2,0,19,0,0,0,0
432,1,29-11-2021,23,0,0,0,0,0,0,0
433,1,29-11-2021,23,1,0,0,0,0,0,0
434,1,29-11-2021,23,2,0,20,0,0,0,0
435,1,29-11-2021,22,0,0,2,0,0,0,0
436,1,29-11-2021,22,1,2,0,0,0,0,0
437,1,29-11-2021,22,2,0,32,0,0,0,0
438,1,29-11-2021,21,0,0,0,0,0,0,0
439,1,29-11-2021,21,1,4,0,0,0,0,0
440,1,29-11-2021,21,2,0,35,0,0,0,0
441,1,29-11-2021,20,0,0,0,0,0,0,0
442,1,29-11-2021,20,1,0,0,0,0,0,0
443,1,29-11-2021,20,2,0,48,0,0,0,0
444,1,29-11-2021,19,0,0,10,0,0,0,0
445,1,29-11-2021,19,1,5,0,0,0,0,0
446,1,29-11-2021,19,2,0,90,0,0,0,0
447,1,29-11-2021,18,0,148,0,0,0,0,0
448,1,29-11-2021,18,1,13,0,0,0,0,0
449,1,29-11-2021,18,2,0,254,0,0,1,0
450,1,29-11-2021,17,0,27,0,0,0,0,0
451,1,29-11-2021,17,1,17,0,0,0,0,0
452,1,29-11-2021,17,2,0,161,0,0,0,0
453,1,29-11-2021,16,0,78,0,0,0,0,2
454,1,29-11-2021,16,1,8,0,0,0,0,0
455,1,29-11-2021,16,2,0,143,0,0,0,0
456,1,29-11-2021,15,0,64,0,0,0,0,0
457,1,29-11-2021,15,1,9,0,0,0,0,0
458,1,29-11-2021,15,2,0,53,0,0,0,0
459,1,29-11-2021,14,0,177,0,0,0,0,0
460,1,29-11-2021,14,1,5,0,0,0,0,0
461,1,29-11-2021,14,2,0,79,0,0,1,0
462,1,29-11-2021,13,0,4,0,0,0,0,0
463,1,29-11-2021,13,1,0,0,0,0,0,0
464,1,29-11-2021,13,2,0,58,0,0,0,0
465,1,29-11-2021,12,0,13,0,0,0,0,0
466,1,29-11-2021,12,1,8,0,0,0,0,0
467,1,29-11-2021,12,2,0,51,0,0,1,0
468,1,29-11-2021,11,0,0,0,0,0,0,0
469,1,29-11-2021,11,1,4,0,0,0,0,0
470,1,29-11-2021,11,2,0,13,0,0,0,0
471,1,29-11-2021,10,0,0,0,0,0,0,0
472,1,29-11-2021,10,1,0,0,0,0,0,0
473,1,29-11-2021,10,2,0,0,0,0,0,0
474,1,29-11-2021,9,0,0,0,0,0,0,0
475,1,29-11-2021,9,1,0,0,0,0,0,0
476,1,29-11-2021,9,2,0,0,0,0,0,0
477,1,29-11-2021,8,0,0,0,0,0,0,0
478,1,29-11-2021,8,1,0,0,0,0,0,0
479,1,29-11-2021,8,2,0,0,0,0,0,0
480,1,29-11-2021,7,0,0,0,0,0,0,0
481,1,29-11-2021,7,1,0,0,0,0,0,0
482,1,29-11-2021,7,2,0,0,0,0,0,0
483,1,29-11-2021,6,0,0,0,0,0,0,0
484,1,29-11-2021,6,1,0,0,0,0,0,0
485,1,29-11-2021,6,2,0,2,0,0,0,0
486,1,29-11-2021,5,0,0,0,0,0,0,0
487,1,29-11-2021,5,1,0,0,0,0,0,0
488,1,29-11-2021,5,2,0,0,0,0,0,0
489,1,29-11-2021,4,0,0,0,0,0,0,0
490,1,29-11-2021,4,1,0,0,0,0,0,0
491,1,29-11-2021,4,2,0,1,0,0,0,0
492,1,29-11-2021,3,0,0,0,0,0,0,0
493,1,29-11-2021,3,1,0,0,0,0,0,0
494,1,29-11-2021,3,2,0,0,0,0,0,0
495,1,29-11-2021,2,0,0,0,0,0,0,0
496,1,29-11-2021,2,1,0,0,0,0,0,0
497,1,29-11-2021,2,2,0,5,0,0,0,0
498,1,29-11-2021,1,0,0,0,0,0,0,0
499,1,29-11-2021,1,1,0,0,0,0,0,0
500,1,29-11-2021,1,2,0,3,0,0,0,0
501,1,29-11-2021,0,0,0,0,0,0,0,0
502,1,29-11-2021,0,1,0,0,0,0,0,0
503,1,29-11-2021,0,2,0,6,0,0,0,0
504,1,28-11-2021,23,0,0,0,0,0,0,0
505,1,28-11-2021,23,1,1,0,0,0,0,0
506,1,28-11-2021,23,2,0,17,0,0,0,0
507,1,28-11-2021,22,0,0,0,0,0,0,0
508,1,28-11-2021,22,1,0,0,0,0,0,0
509,1,28-11-2021,22,2,0,8,0,0,0,0
510,1,28-11-2021,21,0,0,0,0,0,0,0
511,1,28-11-2021,21,1,1,0,0,0,0,0
