camera,datetime,zone,person,car,bicycle,motorcycle,truck,dog
2,28-11-2021 15:00,2,26,0,0,0,0,0
2,28-11-2021 15:00,3,0,0,0,0,0,0
2,28-11-2021 16:00,0,0,108,0,0,7,0
2,28-11-2021 16:00,1,46,9,0,0,5,0
2,28-11-2021 16:00,2,21,0,0,0,0,0
2,28-11-2021 16:00,3,65,0,0,0,0,0
2,28-11-2021 17:00,0,0,102,0,0,5,0
2,28-11-2021 17:00,1,4,7,0,0,4,0
2,28-11-2021 17:00,2,63,0,0,0,0,0
2,28-11-2021 17:00,3,54,0,0,0,0,0
2,28-11-2021 18:00,0,0,61,0,0,0,0
2,28-11-2021 18:00,1,4,8,0,0,2,0
2,28-11-2021 18:00,2,5,0,0,0,0,0
2,28-11-2021 18:00,3,4,0,0,0,0,0
2,28-11-2021 19:00,0,0,2,0,0,0,0
2,28-11-2021 19:00,1,0,3,0,0,0,0
2,28-11-2021 19:00,2,0,0,0,0,0,0
2,28-11-2021 19:00,3,0,0,0,0,0,0
2,28-11-2021 20:00,0,0,0,0,0,0,0
2,28-11-2021 20:00,1,0,2,0,0,0,0
2,28-11-2021 20:00,2,0,0,0,0,0,0
2,28-11-2021 20:00,3,0,0,0,0,0,0
2,28-11-2021 21:00,0,0,1,0,0,0,0
2,28-11-2021 21:00,1,0,1,0,0,0,0
2,28-11-2021 21:00,2,2,0,0,0,0,0
2,28-11-2021 21:00,3,0,0,0,0,0,0
2,28-11-2021 22:00,0,0,0,0,0,0,0
2,28-11-2021 22:00,1,1,2,0,0,0,0
2,28-11-2021 22:00,2,0,0,0,0,0,0
2,28-11-2021 22:00,3,0,0,0,0,0,0
2,28-11-2021 23:00,0,0,0,0,0,0,0
2,28-11-2021 23:00,1,0,0,0,0,0,0
2,28-11-2021 23:00,2,0,0,0,0,0,0
2,28-11-2021 23:00,3,0,0,0,0,0,0
2,29-11-2021 0:00,0,0,0,0,0,0,0
2,29-11-2021 0:00,1,0,0,0,0,0,0
2,29-11-2021 0:00,2,1,0,0,0,0,0
2,29-11-2021 0:00,3,0,0,0,0,0,0
2,29-11-2021 1:00,0,0,0,0,0,0,0
2,29-11-2021 1:00,1,0,0,0,0,0,0
2,29-11-2021 1:00,2,0,0,0,0,0,0
2,29-11-2021 1:00,3,0,0,0,0,0,0
2,29-11-2021 2:00,0,0,0,0,0,0,0
2,29-11-2021 2:00,1,0,0,0,0,0,0
2,29-11-2021 2:00,2,0,0,0,0,0,0
2,29-11-2021 2:00,3,0,0,0,0,0,0
2,29-11-2021 3:00,0,0,0,0,0,0,0
2,29-11-2021 3:00,1,0,0,0,0,0,0
2,29-11-2021 3:00,2,0,0,0,0,0,0
2,29-11-2021 3:00,3,0,0,0,0,0,0
2,29-11-2021 4:00,0,0,0,0,0,0,0
2,29-11-2021 4:00,1,0,0,0,0,0,0
2,29-11-2021 4:00,2,0,0,0,0,0,0
2,29-11-2021 4:00,3,0,0,0,0,0,0
2,29-11-2021 5:00,0,0,1,0,0,0,0
2,29-11-2021 5:00,1,0,0,0,0,0,0
2,29-11-2021 5:00,2,0,0,0,0,0,0
2,29-11-2021 5:00,3,0,0,0,0,0,0
2,29-11-2021 6:00,0,0,1,0,0,0,0
2,29-11-2021 6:00,1,0,0,0,0,0,0
2,29-11-2021 6:00,2,0,0,0,0,0,0
2,29-11-2021 6:00,3,0,0,0,0,0,0
2,29-11-2021 7:00,0,0,0,0,0,0,0
2,29-11-2021 7:00,1,0,0,0,0,0,0
2,29-11-2021 7:00,2,0,0,0,0,0,0
2,29-11-2021 7:00,3,0,0,0,0,0,0
